mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
cfm007mjr,HC_hit_vs_MC_hit,ALL_REGIONS_COMBINED,253,"{0.0: 53, 1.0: 200}",0.5363636363636364,0.6727272727272727,53,0.36633663366336633,0.07920792079207921,0.5044090909090909,0.07710581572217375,0.5216818181818182,0.10385166033998638
cfm007mjr,HC_vs_LC_noreport,M1,576,"{0.0: 69, 1.0: 507}",0.6029411764705883,0.6393557422969187,69,0.10891089108910891,0.0594059405940594,0.5065756302521008,0.06961326023423549,0.5043977591036414,0.08670079124805077
cfm007mjr,HC_vs_LC_noreport,V1,576,"{0.0: 69, 1.0: 507}",0.5021008403361344,0.5245098039215687,69,0.49504950495049505,0.3465346534653465,0.5074299719887955,0.06239884005503414,0.503172268907563,0.07850664498957452
cfm007mjr,HC_vs_LC_noreport,VISa,576,"{0.0: 69, 1.0: 507}",0.6323529411764706,0.6330532212885154,69,0.04950495049504951,0.0594059405940594,0.4907563025210084,0.0777194833231637,0.4934243697478992,0.08808899742093712
cfm007mjr,HC_vs_LC_noreport,VISam,576,"{0.0: 69, 1.0: 507}",0.5133053221288515,0.4957983193277311,69,0.43564356435643564,0.5148514851485149,0.5053221288515406,0.0676496685127391,0.5022549019607844,0.07640422392990191
cfm007mjr,HC_vs_LC_noreport,VISpm,576,"{0.0: 69, 1.0: 507}",0.4810924369747899,0.5189075630252101,69,0.6336633663366337,0.43564356435643564,0.4994817927170868,0.07313577574306682,0.5030042016806722,0.08326835819927426
cfm007mjr,HC_vs_LC_noreport,ALL_REGIONS_COMBINED,576,"{0.0: 69, 1.0: 507}",0.5742296918767507,0.6407563025210085,69,0.10891089108910891,0.039603960396039604,0.4998459383753501,0.0603698792340304,0.5041386554621848,0.07542885409644189
cfm007mjr,HC_hit_vs_miss,M1,269,"{0.0: 69, 1.0: 200}",0.6464285714285715,0.7339285714285715,69,0.039603960396039604,0.009900990099009901,0.5034642857142857,0.07302755804964231,0.5010714285714286,0.08690101100842104
cfm007mjr,HC_hit_vs_miss,V1,269,"{0.0: 69, 1.0: 200}",0.4214285714285714,0.4767857142857143,69,0.8415841584158416,0.6435643564356436,0.5008214285714286,0.08079105862074852,0.5049464285714287,0.08682313089651553
cfm007mjr,HC_hit_vs_miss,VISa,269,"{0.0: 69, 1.0: 200}",0.6232142857142857,0.6589285714285714,69,0.0891089108910891,0.0594059405940594,0.5132678571428572,0.07619676755088815,0.5216964285714285,0.09352519816245529
cfm007mjr,HC_hit_vs_miss,VISam,269,"{0.0: 69, 1.0: 200}",0.5160714285714286,0.5160714285714286,69,0.5148514851485149,0.5643564356435643,0.5171071428571429,0.08187307405430702,0.5228749999999999,0.09101668347571433
cfm007mjr,HC_hit_vs_miss,VISpm,269,"{0.0: 69, 1.0: 200}",0.5660714285714286,0.5053571428571428,69,0.15841584158415842,0.5643564356435643,0.5068214285714288,0.06819856774784308,0.5099107142857143,0.07112496861661372
cfm007mjr,HC_hit_vs_miss,ALL_REGIONS_COMBINED,269,"{0.0: 69, 1.0: 200}",0.5660714285714286,0.6125,69,0.2376237623762376,0.12871287128712872,0.5088928571428571,0.08096869671014087,0.511482142857143,0.09448040471441684
