,trial_index,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
282,23,trial_23,,pre_offset,V1,143.07313599990448,143.32313599990448,-113.8645004852254,0.14893682683945322,0.005322449245490222,0.02992472880000895,209.96632414519016,329.0198805333925,1.4816736191334454
283,23,trial_23,,post_offset,V1,143.32313599990448,143.57313599990448,-163.55647944800137,0.7330485589184186,0.01908965188402307,0.012478388384415857,503.52538433782024,1940.4132637099237,3.3201001930843437
284,23,trial_23,,pre_onset,M2,141.5589799999055,141.8089799999055,-67.59851617533984,0.6009217911969447,0.002191488977001327,0.07460456363639172,84.21985198925125,199.64336377461336,2.1481462784927885
285,23,trial_23,,post_onset,M2,141.8089799999055,142.0589799999055,-5.657441248330854,0.7574067939812252,0.0026982530964413214,0.08074612831145486,77.81407528227254,120.41880868577032,1.9354506085365255
286,23,trial_23,,pre_offset,M2,143.07313599990448,143.32313599990448,-149.89387922497775,0.23193254118942921,0.001784105715446971,0.10035120956897778,62.6119538983808,222.5157579147772,3.3573113626424167
287,23,trial_23,,post_offset,M2,143.32313599990448,143.57313599990448,150.5362278426741,0.549951641512259,0.00247816486831963,0.10091031095862812,62.26504752081884,227.94524281310785,3.1721630797853084
288,24,trial_24,,pre_onset,SSC,147.20843599990172,147.45843599990172,173.48145150721183,0.4990525811594125,0.015343753147202245,0.03698683668469187,169.87625518621533,784.7914595145336,3.8179497130555435
289,24,trial_24,,post_onset,SSC,147.45843599990172,147.70843599990172,148.66550585383303,0.3828654343464478,0.016431092200201034,0.03036530796833137,206.91986110374557,837.0669627870496,4.623679219228203
290,24,trial_24,,pre_offset,SSC,148.72259199990071,148.97259199990071,14.252500928914689,0.2845489232742732,0.004701414632761908,0.09390110084954431,66.91279708474342,221.3615002589593,2.76349428483709
291,24,trial_24,,post_offset,SSC,148.97259199990071,149.22259199990071,94.3966915785223,0.6854907107446744,0.007224020149660953,0.08038163829163786,78.16692270420208,378.9582528685414,4.832416426128128
292,24,trial_24,,pre_onset,V1,147.20843599990172,147.45843599990172,-12.307501846570716,0.4446730605578578,0.003239301424147817,0.05489171323038382,114.46509750585994,36.630852850855675,0.2996326803384721
293,24,trial_24,,post_onset,V1,147.45843599990172,147.70843599990172,93.16288584482659,0.3509400651930828,0.0032420080896587425,0.06693223708327767,93.87382793379508,621.867788408642,4.791679942707201
294,24,trial_24,,pre_offset,V1,148.72259199990071,148.97259199990071,89.9343417696867,0.6046779579492797,0.005091730691045046,0.0394758147445357,159.16543706167113,418.0102091838615,2.580971321609598
295,24,trial_24,,post_offset,V1,148.97259199990071,149.22259199990071,168.50958706939872,0.7999209176057784,0.020649291184430773,0.011880719705861343,528.8556133581523,1683.8955648985989,3.3403792998190474
296,24,trial_24,,pre_onset,M2,147.20843599990172,147.45843599990172,99.97247978014462,0.31618683854511404,0.00261103097049626,0.07415861279008908,84.72630582997235,238.6845165960031,3.105395365970973
297,24,trial_24,,post_onset,M2,147.45843599990172,147.70843599990172,102.93458880654403,0.3431283984070139,0.0023452321576238385,0.0670367336266472,93.72749785472858,444.4215123238295,4.94861097970673
298,24,trial_24,,pre_offset,M2,148.72259199990071,148.97259199990071,-138.12440674552778,0.6212599984124245,0.002021479367356755,0.09660348910160345,65.04097694205639,387.1778147801585,4.940071752822847
299,24,trial_24,,post_offset,M2,148.97259199990071,149.22259199990071,164.4037916132931,0.6568251430026266,0.0021385301499773504,0.09394763391753985,66.87965460305783,215.28636275511917,3.19097790131054
300,25,trial_25,,pre_onset,SSC,152.0562799998985,152.3062799998985,84.52377235138474,0.5423815446386274,0.01173786479797656,0.04696674659312033,133.77944530865045,379.73201423533993,2.392335206333522
301,25,trial_25,,post_onset,SSC,152.3062799998985,152.5562799998985,132.56927046440077,0.8617745953766234,0.016761045555849854,0.029262062880793756,214.72120174082374,492.9674719262787,2.2027942754360104
302,25,trial_25,,pre_offset,SSC,153.58952199989747,153.83952199989747,158.11724181545196,0.6250377858329388,0.007067216344077919,0.10895415031485016,57.66815939569771,383.64308372816157,5.337392984678743
303,25,trial_25,,post_offset,SSC,153.83952199989747,154.08952199989747,144.95490984866234,0.0935362738221823,0.00529482241591078,0.13538204070935522,46.410774089811774,121.26635487782374,3.1619708543372997
304,25,trial_25,,pre_onset,V1,152.0562799998985,152.3062799998985,129.58118604856483,0.5129310332444332,0.002620679626318539,0.0864066609020588,72.71644618117487,645.4138884462021,9.578692223335201
305,25,trial_25,,post_onset,V1,152.3062799998985,152.5562799998985,81.68218912862002,0.4638067549905968,0.005573141875820305,0.06338589670856773,99.12591969895256,583.7546147665784,6.075342963928434
306,25,trial_25,,pre_offset,V1,153.58952199989747,153.83952199989747,40.02958744065637,0.4190035660997853,0.0031705378121973746,0.07975317064442707,78.78289046579289,393.65967309384365,5.0004778335818845
307,25,trial_25,,post_offset,V1,153.83952199989747,154.08952199989747,-138.4157186459407,0.3069865949941579,0.004992578678133117,0.06625634749894807,94.83144701387806,586.0992100390296,6.159535284302004
308,25,trial_25,,pre_onset,M2,152.0562799998985,152.3062799998985,67.45560719897885,0.408374113365574,0.004920092959915563,0.04511443926148788,139.2721578730394,796.3579380040101,4.169065357971721
309,25,trial_25,,post_onset,M2,152.3062799998985,152.5562799998985,108.0648048638315,0.6765626605783104,0.0033041231892119204,0.05641720112184336,111.37002868344864,255.19338160362614,2.7710629276335874
310,25,trial_25,,pre_offset,M2,153.58952199989747,153.83952199989747,-21.063003949571854,0.37292004190211636,0.002482236874571209,0.11641615194359081,53.97176596443499,173.6926938883603,2.93877100094436
311,25,trial_25,,post_offset,M2,153.83952199989747,154.08952199989747,-50.59487204211233,0.1618210277002303,0.002327787330095564,0.1448114862916363,43.38872190377123,398.40921066811893,9.368264578550754
312,26,trial_26,,pre_onset,SSC,159.20716799989373,159.45716799989373,-153.37461104044903,0.262882149201837,0.0033211291698467785,0.17552096946548718,35.79734846676,246.43336579881648,7.30997602169293
313,26,trial_26,,post_onset,SSC,159.45716799989373,159.70716799989373,155.87555566254883,0.7286005950888139,0.002558354053846116,0.13580629678683762,46.26578778627409,298.9435815854097,6.872944477728353
314,26,trial_26,,pre_offset,SSC,160.72132399989272,160.97132399989272,7.642610858223062,0.20869544940142065,0.006061545032836822,0.07156670700592621,87.79480808945556,357.43294876913865,4.199911255464888
315,26,trial_26,,post_offset,SSC,160.97132399989272,161.22132399989272,-71.17386884685605,0.5597601037101179,0.0058256722350605835,0.08383319119564105,74.94865956511845,408.0894906975527,3.9739310259323375
