,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
5118,cfm002mjr/20240517/meas01/trial108,HC No Report (9),pre_offset,V1,828.598923540383,828.848923540383,-113.56830066903952,0.33442363975409906,0.0018694181368958608,0.22402937842869258,28.0462560368148,118.99422314988193,3.9180190883216173
5119,cfm002mjr/20240517/meas01/trial108,HC No Report (9),post_offset,V1,828.848923540383,829.098923540383,117.78340884801986,0.19033929619744777,0.0017959491560121982,0.22123771874485737,28.40015410946122,211.1989061745815,7.144070129763833
5120,cfm002mjr/20240517/meas01/trial115,HC No Report (9),pre_onset,SSC,858.349923540383,858.599923540383,143.99242833432388,0.8968685588187079,0.01817674912794749,0.05173809648963121,121.44259125175563,358.6604488993821,2.9302863032343005
5121,cfm002mjr/20240517/meas01/trial115,HC No Report (9),post_onset,SSC,858.599923540383,858.849923540383,172.98725867527702,0.12131685817465919,0.015911774570938737,0.0475126173991079,132.24245792229414,801.0564385413641,4.5604531523465
5122,cfm002mjr/20240517/meas01/trial115,HC No Report (9),pre_offset,SSC,858.8769235403829,859.1269235403829,155.43337425051104,0.7583429863138189,0.03649536276384743,0.020007664422560818,314.0389190101875,1274.7448930452676,3.8582759646048346
5123,cfm002mjr/20240517/meas01/trial115,HC No Report (9),post_offset,SSC,859.1269235403829,859.3769235403829,177.73132070133772,0.21779022407356963,0.008886971017173367,0.05458264019491477,115.14552083532872,189.17749893240716,1.1287542633473762
5124,cfm002mjr/20240517/meas01/trial115,HC No Report (9),pre_onset,V1,858.349923540383,858.599923540383,98.96418539626963,0.4045906100695317,0.006378956868112549,0.07615760665224824,82.50241063787888,185.12784582256137,2.2255427540959998
5125,cfm002mjr/20240517/meas01/trial115,HC No Report (9),post_onset,V1,858.599923540383,858.849923540383,92.0084668443968,0.35115050947952586,0.0051653172402768895,0.09694015437974984,64.81509491480759,99.06722920098514,1.3708975912975145
5126,cfm002mjr/20240517/meas01/trial115,HC No Report (9),pre_offset,V1,858.8769235403829,859.1269235403829,164.54823144469222,0.0904620685074283,0.010058794579198456,0.05189111319068154,121.08403387090765,214.83253088447702,1.7015030873013575
5127,cfm002mjr/20240517/meas01/trial115,HC No Report (9),post_offset,V1,859.1269235403829,859.3769235403829,137.810218227021,0.28736210900481857,0.005340848630597521,0.09073630094392045,69.2489126442203,105.47639210168165,1.5669891739475905
5128,cfm002mjr/20240517/meas01/trial120,HC No Report (9),pre_onset,SSC,884.094923540383,884.344923540383,-102.79147900563434,0.17903921269103312,0.005734086812988633,0.12656404249765496,49.644315898775154,290.44426023907766,6.649537308645183
5129,cfm002mjr/20240517/meas01/trial120,HC No Report (9),post_onset,SSC,884.344923540383,884.594923540383,-3.251185309123416,0.26187344637518356,0.006570429525245044,0.08293093510228194,75.76408037746661,272.6401479432503,3.7804815764937088
5130,cfm002mjr/20240517/meas01/trial120,HC No Report (9),pre_offset,SSC,884.633923540383,884.883923540383,137.88140090539179,0.2956406459817474,0.0037648685716034865,0.1627759383464786,38.60020941059138,197.26268196888154,4.998176138013622
5131,cfm002mjr/20240517/meas01/trial120,HC No Report (9),post_offset,SSC,884.883923540383,885.133923540383,148.2870965159476,0.6271596894299121,0.010382098289352663,0.08761560922683195,71.7130812948269,275.2117676686763,3.9259921752912814
5132,cfm002mjr/20240517/meas01/trial120,HC No Report (9),pre_onset,V1,884.094923540383,884.344923540383,134.4329857946313,0.31927534736152396,0.002695665724473691,0.22138348587558143,28.38145439046328,118.3007864711509,4.156722590843531
5133,cfm002mjr/20240517/meas01/trial120,HC No Report (9),post_onset,V1,884.344923540383,884.594923540383,126.35894058300786,0.34592174670963655,0.0032727012471665635,0.19922632137393032,31.537930145451643,92.29311018312077,3.0535887605213423
5134,cfm002mjr/20240517/meas01/trial120,HC No Report (9),pre_offset,V1,884.633923540383,884.883923540383,139.7206728360488,0.4938512944857336,0.0029694167146156344,0.17547169549513394,35.80740067194385,52.01411187328842,1.4757463346806812
5135,cfm002mjr/20240517/meas01/trial120,HC No Report (9),post_offset,V1,884.883923540383,885.133923540383,68.66746742593142,0.1443012915423214,0.0035299071643482087,0.1564024389185429,40.17319263449579,108.51226697920882,2.6432787096372916
5136,cfm002mjr/20240517/meas01/trial121,HC No Report (9),pre_onset,SSC,888.464923540383,888.714923540383,-74.30143859737854,0.7287542410661872,0.00845651561249069,0.07546183122466851,83.26309082631445,306.3879264094524,3.6545385860152457
