event_id,trial_id,t_start,t_end,duration_s,stage,theta_deg,R,n_frames,mean_amp,mean_freq_hz,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,iqr_amp,iqr_freq_hz,iqr_k_rad_per_px,iqr_lambda_px,iqr_speed_px_s,n_valid_frames,trial_type
cfm002mjr/20240517/meas00/trial004/6,cfm002mjr/20240517/meas00/trial004,1.8195319999987871,1.9976679999986684,0.17813599999988128,post,-166.78938191897453,0.3689773459507241,28,0.004555117011893834,4.2149670873195,0.1156852186509786,54.31343465762244,189.69510991633675,0.0008133857626551394,2.4640511676972796,0.026530984497641436,11.28860599764944,152.30129019217043,27,MC Miss (5)
cfm002mjr/20240517/meas00/trial005/1,cfm002mjr/20240517/meas00/trial005,0.0318099999999788,0.32446199999978376,0.29265199999980496,pre,139.58489595100852,0.30670184874023176,46,0.021289067001446893,4.317595133169185,0.0385890926078162,162.8539067901096,652.889245073017,0.01044844096271803,2.458244538824275,0.05474830558075678,241.52150094113154,695.3687418074605,45,HC Hit (3)
cfm002mjr/20240517/meas00/trial005/2,cfm002mjr/20240517/meas00/trial005,0.5853039999996099,0.8334219999994444,0.24811799999983453,pre,-42.756753142806936,0.7754067277401862,39,0.013382160018790688,2.9365853846942556,0.07507502110549612,83.69208845576475,215.12111690114807,0.006856678844756669,3.0917454768791783,0.05117086257189399,86.21176122578008,526.6021942090105,38,HC Hit (3)
cfm002mjr/20240517/meas00/trial005/3,cfm002mjr/20240517/meas00/trial005,1.0242819999993173,1.2787619999991477,0.2544799999998304,stim,120.05882467870715,0.5435692344168617,40,0.007109860213024996,3.4360725709156386,0.07467185074067781,84.1447750169437,243.39605071200916,0.002583183064951888,1.8370574526632382,0.04474621763475445,35.32554457335511,60.5445974538481,39,HC Hit (3)
cfm002mjr/20240517/meas00/trial005/4,cfm002mjr/20240517/meas00/trial005,1.4187259999990545,1.5332419999989781,0.11451599999992368,stim,130.4649947769884,0.6626790765961327,18,0.0033127681671154463,4.8869205773026145,0.19730849635803432,31.844680333096818,155.75335826947023,0.0002725801169028625,0.6650673477774394,0.008443907812120038,1.3937101338996314,27.40518888652494,17,HC Hit (3)
cfm002mjr/20240517/meas00/trial005/5,cfm002mjr/20240517/meas00/trial005,1.8068079999987956,1.9976679999986684,0.1908599999998728,post,-102.62373628227346,0.39511509152938,30,0.005647088179630777,5.163237034905114,0.11606492802191436,54.14465870670117,284.89341559077167,0.0011693634716681738,2.5228291415590203,0.01902518493195053,9.037211676521608,138.74622274046627,29,HC Hit (3)
cfm002mjr/20240517/meas00/trial006/1,cfm002mjr/20240517/meas00/trial006,0.0,0.12087799999991942,0.12087799999991942,pre,-61.080864590506145,0.6046877483012372,19,0.0024257913768498,9.411202854878669,0.20146688439901597,31.187186548908954,280.7004025431079,0.0012435941140615846,2.4465932952991167,0.024691082237282724,3.960119000385202,115.80231030567137,18,HC Hit (3)
cfm002mjr/20240517/meas00/trial006/2,cfm002mjr/20240517/meas00/trial006,0.3944439999997371,0.5280459999996481,0.13360199999991096,pre,-0.6433674721749876,0.5744747872581625,21,0.004869469070089857,4.887609321344596,0.13545536003037426,46.385652851025284,211.23040163238863,0.0006970849984769562,1.9000866472166131,0.017492260845656887,5.731998693829347,117.64991772103753,20,HC Hit (3)
cfm002mjr/20240517/meas00/trial006/3,cfm002mjr/20240517/meas00/trial006,0.5280459999996481,0.7316299999995124,0.20358399999986432,pre,-45.933521258660384,0.6906041272647697,32,0.010303219434239744,2.9996946769888444,0.08300145508124038,75.70998131271152,229.7566175366826,0.0028187469026175575,1.7418051314366156,0.023155376545303696,21.689415964622057,185.5961569793218,31,HC Hit (3)
cfm002mjr/20240517/meas00/trial006/4,cfm002mjr/20240517/meas00/trial006,0.8334219999994444,1.221503999999186,0.38808199999974147,stim,87.18698626694231,0.49836921464814493,61,0.0074133320386572995,3.5214448935302323,0.09124746929152729,68.85873499795798,207.5280138881788,0.0030713903540080236,1.0340587707236972,0.03569505122479272,28.95239375013484,182.59245649259213,60,HC Hit (3)
