AnimalCode,Date,TrialID,TrialType,Time,Duration,Contrast,PerceptualCat,ReactTime,Rewarded?,Enticed?,Seen?,Consume?,Attrition?,Recording,EngagementScore,EngagementScore_S20,MovieFile
cfm001mjr,240506,240506_1_017,Correct Rejection (4),188.425,0.5559999999999832,0.024,1,0.6169999999999902,0,0,1,0,0,1,0.03571428571428571,0.15037593984962405,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_018,Correct Rejection (4),200.121,0.542999999999978,0,1,2.6850000000000023,0,0,0,0,0,1,0.03571428571428571,0.13909774436090225,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_019,Error (0),208.82,0.5630000000000166,0.024,1,0.060000000000002274,0,0,0,0,0,1,0.03571428571428571,0.14097744360902256,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_020,Error (0),212.265,0.5250000000000057,0.023,1,0.4240000000000066,1,1,1,1,0,1,0.3571428571428571,0.14473684210526316,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_021,MC Hit (2),222.557,0.5160000000000196,0.045,2,0.40300000000002,1,0,1,1,0,1,0.3571428571428571,0.15977443609022557,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_022,Correct Rejection (4),238.662,0.5240000000000009,0,1,5.159999999999997,0,0,0,0,0,1,0,0.16541353383458648,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_023,HC Hit (3),243.372,0.5459999999999923,0.06,3,0.44999999999998863,1,0,1,1,0,1,0.32142857142857145,0.14285714285714285,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_024,False Alarm (1),252.758,0.5339999999999918,0.023,1,0.44199999999997885,1,0,1,1,0,1,0.32142857142857145,0.14097744360902256,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_025,Correct Rejection (4),269.486,0.5060000000000286,0,1,0.6659999999999968,0,0,1,0,0,1,0.03571428571428571,0.13909774436090225,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_026,Correct Rejection (4),277.723,0.5380000000000109,0.024,1,4.454999999999984,0,0,0,0,0,1,0,0.13909774436090225,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_027,MC Miss (5),301.432,0.5509999999999877,0.03,2,0.6510000000000105,0,0,1,0,0,1,0.07142857142857142,0.13721804511278196,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_028,False Alarm (1),314.983,0.5670000000000073,0.024,1,0.27800000000002,1,0,1,1,0,1,0.32142857142857145,0.13721804511278193,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_029,Correct Rejection (4),331.761,0.5469999999999686,0.023,1,2.700999999999965,0,0,0,0,0,1,0.07142857142857142,0.14849624060150374,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_030,HC Hit (3),353.589,0.5260000000000105,0.06,3,0.6000000000000227,1,0,1,1,0,1,0.2857142857142857,0.13157894736842105,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_031,False Alarm (1),377.807,0.5289999999999964,0.024,1,0.46399999999999864,1,0,1,1,0,1,0.3928571428571429,0.12406015037593984,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_032,LC No Report (7),411.408,0.5149999999999864,0.024,1,10.678999999999974,0,0,0,0,1,1,0,0.13909774436090225,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_033,LC No Report (7),416.488,0.5219999999999914,0.025,1,5.5989999999999895,0,0,0,0,1,1,0,0.12218045112781954,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_034,MC No Report (8),437.977,0.563000000000045,0.03,2,16.45300000000003,0,0,0,0,1,1,0,0.10526315789473684,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_035,LC No Report (7),443.798,0.5289999999999964,0.024,1,10.632000000000005,0,0,0,0,1,1,0,0.10526315789473684,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_036,HC No Report (9),448.793,0.5349999999999682,0.06,3,5.6370000000000005,0,0,0,0,1,1,0,0.11842105263157894,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_037,LC No Report (7),451.884,0.5169999999999959,0.022,1,2.5459999999999923,0,0,0,0,1,1,0.03571428571428571,0.11466165413533834,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_038,Error (0),460.559,0.5369999999999777,0.03,2,0.4159999999999968,1,1,1,1,1,1,0.25,0.09962406015037593,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_039,LC No Report (7),484.703,0.5270000000000437,0.01,1,1.7580000000000382,0,0,0,0,1,1,0.03571428571428571,0.09774436090225563,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_040,Uncategorized,492.807,0.5299999999999727,0.024,1,0.4130000000000109,1,0,1,1,1,1,0.21428571428571427,0.09586466165413533,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_041,Uncategorized,504.807,0.5109999999999673,0.024,1,0.5029999999999859,1,0,1,1,1,1,0.2857142857142857,0.07706766917293233,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_042,Incorrect Reject (6),509.618,0.5489999999999782,0.06,3,11.362000000000023,0,0,0,0,0,1,0,0.07706766917293233,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_043,Correct Rejection (4),513.937,0.52800000000002,0.022,1,7.043000000000006,0,0,0,0,0,1,0,0.07706766917293233,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_044,Correct Rejection (4),518.108,0.525000000000091,0.024,1,2.872000000000071,0,0,0,0,0,1,0.03571428571428571,0.07706766917293233,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_045,MC Hit (2),534.227,0.5430000000000064,0.03,2,0.5380000000000109,1,0,1,1,0,1,0.25,0.09210526315789473,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_046,Correct Rejection (4),548.395,0.5159999999999627,0.024,1,3.7910000000000537,0,0,0,0,0,1,0,0.09210526315789473,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_047,Correct Rejection (4),551.547,0.5009999999999764,0.024,1,0.63900000000001,0,0,1,0,0,1,0.03571428571428571,0.09022556390977443,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_048,MC Miss (5),566.537,0.5639999999999645,0.045,2,0.7409999999999854,0,0,1,0,0,1,0.03571428571428571,0.07706766917293233,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_049,Error (0),574.578,0.55600000000004,0.01,1,0.19200000000000728,1,0,0,1,0,1,0.25,0.08347716776217272,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_050,MC Miss (5),587.542,0.51400000000001,0.045,2,1.2010000000000218,0,0,0,0,0,1,0.03571428571428571,0.07439195472959127,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_051,Correct Rejection (4),613.147,0.5369999999999209,0.025,1,11.977999999999952,0,0,0,0,0,1,0,0.05935436074462887,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_052,Correct Rejection (4),616.542,0.5219999999999345,0.022,1,8.58299999999997,0,0,0,0,0,1,0,0.05935436074462887,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_053,Correct Rejection (4),620.868,0.5539999999999736,0.01,1,4.256999999999948,0,0,0,0,0,1,0,0.07470523793761133,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_054,MC Hit (2),624.577,0.5249999999999773,0.03,2,0.5480000000000018,1,0,1,1,0,1,0.2857142857142857,0.07282553868949103,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_055,Correct Rejection (4),633.904,0.5629999999999882,0.01,1,,0,0,0,0,0,1,0,0.05966764395264892,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_056,Correct Rejection (4),638.497,0.5930000000000746,0.024,1,,0,0,0,0,0,1,0,0.05966764395264892,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_057,Correct Rejection (4),644.02,0.5289999999999964,0,1,,0,0,0,0,0,1,0,0.07094583944137073,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_001,HC No Report (9),1.761,0.6050000000000002,0.06,3,2.755,0,0,0,0,1,2,0.15749475890985326,0.08441701738623288,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_002,LC No Report (7),10.369,0.5180000000000007,0.023,1,0.7309999999999999,0,0,1,0,1,2,0.04166666666666667,0.08660999984237323,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_003,MC No Report (8),16.823,0.5330000000000013,0.03,2,8.951999999999998,0,0,0,0,1,2,0,0.10666012515565644,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_004,LC No Report (7),22.197,0.522000000000002,0,1,3.5779999999999994,0,0,0,0,1,2,0,0.10666012515565644,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_005,MC Hit (2),25.388,0.5239999999999974,0.03,2,0.3869999999999969,1,0,1,1,0,2,0.2916666666666667,0.10666012515565644,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_006,Incorrect Reject (6),34.169,0.5519999999999996,0.05,3,14.700000000000003,0,0,0,0,0,2,0,0.1088531076117968,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_007,Correct Rejection (4),39.47,0.5420000000000016,0.023,1,9.399000000000001,0,0,0,0,0,2,0,0.0938155136268344,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_008,Incorrect Reject (6),43.483,0.5190000000000055,0.05,3,5.386000000000003,0,0,0,0,0,2,0,0.0938155136268344,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_009,Error (0),48.386,0.5429999999999993,0.05,3,0.482999999999997,1,1,1,1,0,2,0.25,0.1157453381882379,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_010,Error (0),58.452,0.5459999999999994,0.025,1,0.5339999999999989,1,1,1,1,0,2,0.2916666666666667,0.1157453381882379,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_011,Error (0),63.38,0.5279999999999987,0.05,3,0.5379999999999967,1,1,1,1,0,2,0.2916666666666667,0.1074561403508772,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_012,Error (0),69.925,0.5210000000000008,0.03,2,0.42499999999999716,1,1,1,1,0,2,0.41666666666666663,0.10526315789473684,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_013,LC No Report (7),76.595,0.5160000000000053,0.023,1,10.959000000000003,0,0,0,0,1,2,0,0.1206140350877193,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_014,LC No Report (7),81.257,0.519999999999996,0.028,1,6.296999999999997,0,0,0,0,1,2,0,0.1206140350877193,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_015,MC No Report (8),85.545,0.5249999999999915,0.03,2,2.0090000000000003,0,0,0,0,1,2,0.04166666666666667,0.11403508771929825,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_016,MC No Report (8),94.752,0.5530000000000115,0.03,2,9.423000000000002,0,0,0,0,1,2,0,0.11622807017543861,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_017,LC No Report (7),98.501,0.5189999999999912,0.015,1,5.673999999999992,0,0,0,0,1,2,0,0.11842105263157897,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_018,False Alarm (1),103.637,0.5259999999999962,0.028,1,0.5379999999999967,1,0,1,1,0,2,0.41666666666666663,0.11842105263157897,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_019,MC Miss (5),108.915,0.5349999999999966,0.03,2,12.173999999999992,0,0,0,0,0,2,0,0.10526315789473685,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_020,Correct Rejection (4),113.514,0.541000000000011,0,1,7.575000000000003,0,0,0,0,0,2,0,0.0899122807017544,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_021,Incorrect Reject (6),116.689,0.527000000000001,0.05,3,4.400000000000006,0,0,0,0,0,2,0,0.07456140350877194,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_022,Error (0),120.497,0.5180000000000007,0.025,1,0.5919999999999987,1,1,1,1,0,2,0.2916666666666667,0.06407322654462243,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_023,Correct Rejection (4),175.471,0.554000000000002,0.01,1,3.752999999999986,0,0,0,0,0,2,0,0.06636155606407323,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_024,Error (0),178.792,0.5240000000000009,0.025,1,0.43199999999998795,1,1,1,1,0,2,0.16666666666666669,0.08009153318077804,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_025,MC Miss (5),184.177,0.5490000000000066,0.03,2,2.8950000000000102,0,0,0,0,0,2,0.04166666666666667,0.07789855072463768,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_026,MC Miss (5),194.138,0.546999999999997,0.045,2,0.7589999999999861,0,0,0,0,0,2,0.04166666666666667,0.09391685736079329,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_027,Correct Rejection (4),202.157,0.532999999999987,0,1,,0,0,0,0,0,2,0,0.1076468344774981,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_028,Correct Rejection (4),205.9,0.5370000000000061,0.025,1,,0,0,0,0,0,2,0,0.08571700991609459,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_029,Incorrect Reject (6),208.942,0.5619999999999834,0.06,3,,0,0,0,0,0,2,0,0.09029366895499619,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_2_030,Correct Rejection (4),212.863,0.5229999999999961,0.025,1,,0,0,0,0,0,2,0,0.10860030511060259,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas02/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_001,HC Hit (3),8.522,0.5359999999999996,0.1,3,0.5709999999999997,1,0,1,1,0,3,0.21739130434782608,0.10860030511060259,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_002,MC Miss (5),14.957,0.5299999999999994,0.03,2,0.7569999999999997,0,0,0,0,0,3,0.043478260869565216,0.10469107551487414,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_003,MC Hit (2),21.44,0.5350000000000001,0.048,2,0.565999999999999,1,0,1,1,0,3,0.2608695652173913,0.10469107551487414,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_004,Correct Rejection (4),28.027,0.5289999999999999,0,1,3.6839999999999975,0,0,0,0,0,3,0,0.09591914569031273,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_005,HC Hit (3),31.216,0.5199999999999996,0.055,3,0.49499999999999744,1,0,1,1,0,3,0.30434782608695654,0.09372616323417239,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_006,HC Hit (3),39.743,0.5289999999999964,0.085,3,0.5049999999999955,1,0,1,1,0,3,0.2608695652173913,0.09153318077803203,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_007,MC Miss (5),46.202,0.5429999999999993,0.03,2,4.638000000000005,0,0,0,0,0,3,0,0.10068649885583524,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_008,Incorrect Reject (6),50.219,0.5600000000000023,0.085,3,0.6210000000000022,0,0,1,0,0,3,0.08695652173913043,0.10068649885583524,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_009,HC Hit (3),58.237,0.5300000000000011,0.085,3,0.47800000000000153,1,0,1,1,0,3,0.34782608695652173,0.11212814645308924,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_010,MC Miss (5),63.327,0.5510000000000019,0.035,2,4.213999999999999,0,0,0,0,0,3,0,0.11212814645308924,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_011,HC Hit (3),66.991,0.5130000000000052,0.085,3,0.5499999999999972,1,0,1,1,0,3,0.21739130434782608,0.10068649885583525,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_012,Incorrect Reject (6),71.792,0.5169999999999959,0.055,3,19.248999999999995,0,0,0,0,0,3,0,0.10068649885583525,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_013,MC Miss (5),76.866,0.5210000000000008,0.03,2,14.174999999999997,0,0,0,0,0,3,0,0.08695652173913045,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_014,MC Miss (5),81.54,0.5319999999999965,0.042,2,9.50099999999999,0,0,0,0,0,3,0,0.08695652173913045,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_015,Incorrect Reject (6),85.833,0.5280000000000058,0.055,3,5.207999999999998,0,0,0,0,0,3,0,0.07093821510297484,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_016,MC Hit (2),90.537,0.519999999999996,0.048,2,0.5039999999999907,1,0,1,1,0,3,0.17391304347826086,0.06178489702517162,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_017,Correct Rejection (4),95.164,0.5429999999999922,0.025,1,5.701999999999998,0,0,0,0,0,3,0,0.06178489702517162,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_3_018,MC Hit (2),100.324,0.5769999999999982,0.042,2,0.5420000000000016,1,0,1,1,0,3,0.21739130434782608,0.05720823798627002,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas03/cG_unmixed_dFF.h5
